Subject,Question,A,B,D,C,E,I,F
Biology,"Carbohydrates are commonly found as
starch in plant storage organs.Which of the following five properties of starch makes it useful as a storage material?
(A) Easily translocated
(B) Chemically non-reactive
(C) Easily digested by animals
(D) Osmotically inactive
(E) Synthesized during photosynthesis
The useful proeprties are
\( A \cdot(A),(C) \) and (E)",,(A) and (E),(B) and (D),(B) and (C),,,
Biology,Coenzymes NAD and NADP contain the vitamin,Niacin,Biotin,Vitamin \( B_{12} \),Thiamine,Vitamin \( A \),,
Biology,"What is denoted by \( X \) and \( Y \) in the given
graph?",\( x \) -Activation energy without enzyme; Y-Activation energy with enzyme,X-Activation energy with enzyme; Y-Activation energy without enzyme.,X-Substrate concentration without enzyme; YSubstrate concentration with enzyme.,\( x \) -substrate concentration with enzyme; \( Y \) - Substrate concentration without enzyme.,,,
Biology,"How is a pinnately compound leaf
different from a palmately compound
leaf?",,,,,,,
Biology,Which is the living component of xylem?,Tracheids,Xylem fibre,Trachea,xylem parenchyma,,,
Biology,What are the advantages of sexual over asexual reproduction?,,,,,,,
Biology,"The most nearest prehistoric ancestor
of present man may be",Java ape man,Cro-Magnon man,Peking man,Neanderthal man,,,
Biology,"toppr
Q Type your question
option represents the correct arrangement of lipids in lipid bilayer?
\( A \)",,\( c \),,,,,
Biology,"The synaptonemal complex first
appears at",Leptotene,Pachytene,Diplotene,zygotene,,,
Biology,"Secretin stimulates secretion of
bicarbonate from",Liver,Kidneys,Stomach,Pancreas,,,
Biology,Succession on sand dune is,Lithosere,Psychrosere,Halosere,Psammosere,,,
Biology,The upper chambers of the heart are called,Auricles,Ventricles,Tentacles,spiracles,,,
Biology,The possible beneficial affect of grazing animals is the,Removal of wild animals,Eradication of weeds,Addition of their excrete to the soil,Removal of wild plants,,,
Biology,Compressed Natural Gas (CNG) is,Propane,Methane,Butane,Ethane,,,
Biology,What are the disadvantages of global warming?,,,,,,,
Biology,Neanderthal man lived in,Desert,Deep forest,caves,Mountains,,,
Biology,"Part of the brain acting as relay centre
is",Thalamus,Hypothalamus,Pituitary,,,,
Biology,Who proposed cAMP mediated 'Cascade model' of enzyme regulation?,Fischer,Sutherland,Koshland,Sumner,,,
Biology,Give scientific name of Cabagge. Name the family to which it belongs.,,,,,,,
Biology,Which of the following fruit developed from bicarpellary syncarpous ovary with false septum?,siliqua,Achene,All of the above,capsule,,,
Biology,"In nature, the photosynthesis should proceed up to the limit of",Light,"Temperature
\( c \cdot C O_{2} \)",Moisture and wind,,,,
Biology,Olecranon process is found in,Proximal end of ulna,Distal end of ulna,Proximal end of humerus,Proximal end of tibia,,,
Biology,"Blood consists of two parts, a liquid part
and a cellular part. Name these parts and briefly write about them.",,,,,,,
Biology,Define ecological pyramid,,,,,,,
Biology,"The only ctenophoran to bear
cnidoblasts is",Bolinopsis,Beroe,Euchlora,ctenoplana,,,
Biology,"The value that present between right atrium and right ventricle can be name
as",,,,,,,
Biology,"Cork of commerce obtained from
Quercus is part of",Phellem,Phellogen,All of the above,Phelloderm,,,
Biology,Which of the following steps of respiration is amphibolic?,Glycolysis,Oxidative decarboxylation of pyruvate,Oxidative phosphorylation,TCA cycle,,,
Biology,"Assertion
Gemmae formation in Funaria occurs in
favourable condition
Reason
The gemmed form on the stern and
leaves","If both the assertion and the reason are true and the
reason is a correct explanation of the assertion",If both the assertion and reason are true but the reason is not a correct explanation of the assertion,If both the assertion and reason are false,If the assertion is true but the reason is false,,,
Biology,Write the names of any two excretory organs in human beings.,,,,,,,
Biology,"Match the following with correct
answers.
(a) Toucan bird I Modified teeth
(b) Siberian bird II Silver white
mane
(c) Macaque \( \quad \) II Long beak
(d) Macaque \( \quad \) IV Migrate to India during winter
A . a- -II, b- -I, c- II, d- -IV",,"a- III, b- -IV, c-1, d- -I","a- -V, b- |II, c- ||, d- | -","a-।, b- II, c- -II, d-IV",,,
Biology,Why are xylem and phloem called as complex tissues?,,,,,,,
Biology,"In Ginkgoales, the male gametes are",Motile,Non-motile,Absent,Amoeboid,,,
Biology,Holotype is,Specimen used by author as nomenclature type.,Specimen referred alog with original description.,"Specimen selected from original, when nomeclature type is missing.",Duplicate of nomenclature type.,,,
Biology,Ozone layer of upper atmosphere is being destroyed by,Sulphurdioxide,Carbondioxide,Smogg,chlorofluorocarbon,,,
Biology,Dialysis fluid contains all the constituents as in plasma except,Electrolytes,Proteins,All the above,Nitrogenous wastes,,,
Biology,"(a) Select the homologous structures from the combinations given below:
(i) Forelimbs of whales and bats
(ii) Tuber of potato and sweet potato
(iii) Eyes of octopus and mammals
(iv) Thorns of Bougainvillea and tendrils
of Cucurbita",,,,,,,
Biology,"The smallest unit of classification is
known as",species,De condole,Mayr,Linnaeus,,,
Biology,Who proposed the term ecosystem?,Odum,Gardner,Tansley,Warming,,,
Biology,"Mention the respiratory quotient(RQ)
values for carbohydrates, fats and
proteins during aerobic respiration.",,,,,,,
Biology,"Water evaporates into air from oceans, rivers and lakes but not from the soil.",True,False,,,,,
Biology,"How does the creation of variations in a
species promote survival?",,,,,,,
Biology,"Assertion
Forest influences local air circulation
and may thus retain solid suspensions and gaseous elements.
Reason
Forests control the wind velocity and air
flows.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"One of them is absent in closed
vascular bundles.",Cambium,Pith,All of the above,Ground tissue,,,
Biology,"Which among the following is the
longest phase of cell cycle?",Prophase,"Telophase
\( c \cdot G_{1} \)",\( G_{2} \),,,,
Biology,Mangifera is a..,Variety,Genus,Class,Species,,,
Biology,"Why is that the urine excreted during
summer months is hypertonic?",,,,,,,
Biology,"Choose the odd one in the following. Sperm, implantation, fertilization, ovum, afterbirth",,,,,,,
Biology,"Flattened sacs of Golgi are separated from each other by a space which is
\( A \cdot 13 \hat{A} \)",,130 \( \dot{A} \),300 \( \vec{A} \),"125 ,",,,
Biology,"In Brassica oleracea var. capitata
(cabbage), the edible part is",Infloresence,Flower budd,Stem,vegetative bud,,,
Biology,Organisms called methanogens are most abundant in a,Hot spring,Sulphur rock,Polluted stream,cattle yard,,,
Biology,"Who proposed the cycle of events
leading to the fixation of \( C O_{2} \) in mesophyll and its reduction in bundle sheath?",Emerson,Melvin Calvin,Hill and Bendall,Hatch and Slack,,,
Biology,"A novel species with double stranded genetic material consists of 5 bases
namely P.Q. R. S. T. with percentages
given below.
Percentage 22
\( 28 \quad 22 \)
Based on the above information, which
ONE of the following infrences is NOT supported by the observation?","S- base pairs with T, and Q base pairs with R","S base pairs with \( Q \),and T base pairs with \( Q \)","P base pairs with \( \mathrm{R} \), and T base pairs with \( \mathrm{Q} \)","P base pairs with \( R \), and \( S \) base pairs with \( Q \)",,,
Biology,Which of the following processes takes place in the presence of ATP?,I only,II only,I and III,॥ only,Il and III,"Diffusion
Il. Active transport
III. Facilitated diffusion",
Biology,"An adult has - .............. teeth.
A . 20",,"24
\( c \cdot 28 \)",32,,,,
Biology,The spray of PMA causes,Decrease in transpiration,Increase in transpiration,Increase in guttation,Increase in absorption,,,
Biology,"Salivary glands of cockroach open on
A . Maxilla",,Hypopharynx,Labrum,Labium,,,
Biology,When a cell is placed in pure water then?,Wall pressure is increased,Turgor pressure is increased,All the above,water potential of cell is increased,,,
Biology,Which of the following may show photosynthesis in moonlight,some thermal algae,some marine algae,None of the above,some fresh water algae,,,
Biology,"For which of the following, 'Wharton's jelly' term is used?",Elastic tissue,Mucoid tissue,All of the above,Reticular tissue,,,
Biology,Inspiration occurs when,"Pressure inside lungs is lower than atmospheric
pressure","Pressure inside lungs is higher than atmospheric
pressure",Pressure has no effect,Pressure inside lungs is same as atmospheric pressure,,,
Biology,"Which one of the following diseases is caused due to ozone depletion on
human?",Huntington's chorea,Small pox,Erythemia,Plague,,,
Biology,What is the function of copper-T?,Stops zygote formation,Checks mutation,stops fertilization,stops obliteration of blastocoels,,,
Biology,"Write correct sequence of four steps of
method for the preperation of temparary mount of stained leaf peel.",,,,,,,
Biology,The blind sac body plan is applicable to members of .......... of kingdom Animalia,Porifera,Annelida and Arthropoda,None of the above,Cnidaria and Platyhelminthes,,,
Biology,"Annual rings and growth rings are formed due to the fluctuations in the
activity of",Xylem,Phloem,Cambium,xylem and phloem,,,
Biology,"The molecular weight of chlorophyll \( \alpha \) is
A . 907",,893,712,91,,,
Biology,"Anaerobic process that takes place after glycolysis is called as
A . TCA",,Calvin cycle,Fermentation,Krebs cycle,,,
Biology,"Hormone responsible for ageing is
A . GA",,IAA,Cytokinin,Ethylene,,,
Biology,"The number of time a person breathes
in a minute is known as
This question has multiple correct options",Respiration rate,Breathing rate,None of the above,combustion rate,,,
Biology,Blood passes from left ventricle to right atrium. It is,Pulmonary circulation,Systemic circulation,Arterovenous circulation,Coronary circulation,,,
Biology,"\( \mid \)
\( N \)
\( \mathrm{O} \)
\( \| \)
\( -\mathrm{C}-\mathrm{N}- \)
\( \mathrm{O} \)
\( \| \)
\( \mathrm{C} \)
\( \left(\begin{array}{cc}\mathrm{H} & \mathrm{H} \\ \mathrm{I} & \mathrm{I} \\ -\mathrm{C} & \mathrm{C}- \\ \mathrm{I} & \mid \\ \mathrm{H} & \mathrm{H}\end{array}\right) \)",,,,,,,
Biology,"All the reactions in glycolysis are
reversible except","3 -Phosphoglycerate to 1,3 -Biphosphoglycerate.",Glucose 6-phosphate to fructose - 6-phosphate.,"Fructose - 6 -phosphate to fructose- 1,6 -diphosphate.","1,3 -Biphosphoglycerate to glyceraldehyde 3 -P.",,,
Biology,Which one of the following statements pertaining to plant structure is correct?,cork lacks stomata but lenticels carry out transpiration.,Passage cells help in transfer of food from cortex to phloem,The shoot apical meristem has a quiescent centre.,Sieve tube elements possess cytoplasm but no nuclei,,,
Biology,"Taxonomically, what is species?",A group of evolutionary related populations,A group of organism which can interbreed,Fundamental unit of phylogenetic history oforganisms,Category to which most taxonomic information is attached,,,
Biology,"Q Type your question
sheets:",Only I,Only IV,III and IV,I and IV,,"Plants should be collected in the
flowering stage.
II. Every detail regarding the plant such as locality, ecological conditions, plants vegetative and floral characters,
etc should be noted.
III. Plants are evenly pressed by unfolding a plant part between blotting papers (or newspapers) with the help of
plant presser.
IV. Blotting paper need not be changed
until plants get dried.
V. After drying, the plant's specimen is carefully mounted/pasted on the herbarium sheets.
VI. The herbarium sheet is labeled on
the lower right hand corner representing the number of plant specimen, date of collection, etc.

Which of the above statement(s) is/are
incorrect?",
Biology,"The diatomaceous earth is used to
insulate boilers and steam pipes
because",The wall of diatoms is deposited with calcium.,The diatomaceous earth is cheap.,The wall of diatoms is made of silica,It is a good conductor of heat.,,,
Biology,"In Colon, constrictions of the wall form a series of small pockets called",Haustra,Crypts of lieberkuhn,Taenial,zymogen cells,,,
Biology,Spongy parenchyma is arranged in,One layer,Loosely arranged,Regularly arranged around large cavities,Compactly arrangedd,,,
Biology,Red blood cells,Divide by mitotic division,"Divide by meiotic division
C . Divide amitotically",Do not divide,,,,
Biology,An example of Liliaceae family is,Lupin,Soyabean,Tulip,Petunia,,,
Biology,"The system of giving one name to the
individual is called",Quasibinomial system,Semibinomial system,Uninomial system,Mononomial system,,,
Biology,The tissue is defined as a group of,"Cells which are dissimilar in origin, but are similar in form and function","Cells which are similar in origin, but dissimilar in form and function","Cells which are similar in origin, form and function","Cells which are dissimilar in origin, form and function",,,
Biology,Prenatal growth in higher vertebrate is,Auxetic,Accretionary,None of the above,Multipilicative,,,
Biology,Explain sewage treatment,,,,,,,
Biology,Name the tissue represented by the jute fibres used for making the ropes,,,,,,,
Biology,Dryopithecus is considered to be,Ancestral form of ape,Ancestral form of monkeys,Common ancestor of ape and man,Connecting links between ape and man,,,
Biology,Write short note on hindbrain.,,,,,,,
Biology,"Write down the characteristic features
of animals mammal?",,,,,,,
Biology,Heart beat is accelerated by,Sympathetic nerves and noradrenaline,Cranial nerves and adrenaline,Sympathetic nerves and acetylcholine,Cranial nerves and acetylcholine,,,
Biology,Which is not an example of cytoplasmic inheritance?,Female sterility in maize,Sigma particle inheritance,Plastid inheritance,Kappa particle inheritance,,,
Biology,Drones in a colony of honey bees originate by,Thelytoky,Arrhenotoky,Deuterotoky,Amphitoky,,,
Biology,The advantage/s associated with water harvesting at the community level is/are,The ground water level increases due to recharging of wells,Ground water keeps the layers of soil above it moist and prevents loss of water by evaporation.,Both A and B,Ground water keeps the layers of soil above it dry and prevents loss of water by evaporation,,,
Biology,Mists are produced by:,smoke formed during combustion of organic matter,particles of spray liquids and by condensation of vapours in air,condensation of vapours during chemical reactions,fine solid particles produced during crushing and grinding,,,
Biology,"Malleus is formed by modification of articular bone of lower vertebrates,
while incus is modification of",Quadrate,Jugal,Both A and B,Hyomandibularis,,,
Biology,"Humans and animals are dependent on
plants.",Directly,Indirectly,None of the above,Both A and B,,,
Biology,External ear is found in,Reptiles,Mammals,Fishes,Amphibians,,,
Biology,"Plants are autotrophic. Can you think of
some plants that are partially heterotrophic?",,,,,,,
Biology,Root pressure is a,Pulling force,Pushing force,None of these,Both A and B,,,
Biology,Flower is a modified shoot as,Thalamus may elongate to show internodes.,"There is aggregation into inflorescence.
C . It bears essential organs.",It may have epicalyx.,,,,
Biology,"In humans, the concentration of carbon
dioxide in the plasma",Causes increased production of hydrochloric acid,Regulates gastric acid production by forming carbonic acid,Causes inflammation of the tissues of the bronchial tubes,Regulates breathing rate by its effect on the medulla,,,
Biology,Deuterostomial coelomates are,Chordates,Mollusk,Annelids,Arthropods,,,
Biology,"Which of the following is not true about
photosynthesis?","In non-cyclic photophosphorylation, water is split and oxygen is released",Photosystem-II makes noncyclic photophosphorylation more efficient than does cyclic photophosphorylation,More carbohydrate is produced during cyclic photophosphorylation than during non-cyclic photophosphorylation,Cyclic system is used when there is insufficient \( N A D P^{+} \) present to absorb electrons in plant cells,,,
Biology,Gluconeogenesis is controlled by,Cortisol,Corticosterone,All of the above,Thyroxine,,,
Biology,"A zygote which has an \( X \) chromosome inherited from the father will develop
into a
\( A \cdot B O y \)",,Girl,Either boy or girl,\( x \) chromosome does not determine the sex of a child,,,
Biology,"Taste buds for bitter taste are found on
tongue at",Tip,On basal surface,Lateral sides,Posterior part,,,
Biology,"If following data belongs to an adult male
Cardiac index \( = \)
cardiac output
Total body sur face
Total body surface area in adult \( =1.7 m^{2} \) Cardiac index
4litre / mt./ \( m^{2} \)
Heart rate
\( 68 / \) minute
End systolic volume
Total body surface area \( -1.7 m^{2} \)
Then choose the correct set of option.",cardiac output = 5 litre/minute. ; stroke volume = 70 \( \mathrm{ml} . ; \mathrm{EDV}=120 \mathrm{ml} \),c.0. = 5 litre/minute. ; SV = 100 m!.; EDV = 50 m!,,,,,
Biology,"In catabolic series of reaction, complex
molecules are broken down into smaller
molecules releasing",water,Oxygen,Nutrients,Energy,,,
Biology,Define R.Q. What is its significance?,,,,,,,
Biology,Pepsin acts in,Basic medium,Acidic medium,All types of media,Neutral medium,,,
Biology,Obturator foramen is found in,Pectoral girdle of rabbit,Pectoral girdle of frog,Pelvic girdle of frog,Pelvic girdle of rabbit,,,
Biology,During respiration there is,gain in dry weight,loss in dry weight,increase in the overall weight,no change in dry weight,,,
Biology,"How many organisms in the list given below are autotrophs? Lactobacillus, Nostoc, Chara, Nitrosomonas Nitrobacter, Streptomyces, Sacharomyces Trypanosoma, Porphyra, Wolfia
A . Five",,Six,Four,Three,,,
Biology,A tomato plant with genotype (AABB) its length is \( 130 \mathrm{cm} \) is closed with another tomato plant with genotype (aabb) its length is \( 100 \mathrm{cm} . \) What is the ratio of tomato plants on the basis of length in the given cross?,,,,,,,
Biology,In autogenic succession,"Community itself modifies its own environment, thus causing its own replacement by new commuity",Early dominance of heterotrophs,Early and continued dominance of autotrophic organisms,Replacement of existing communites due to external conditions,,,
Biology,"For the given diagram, a single
chromosome is represented by part
\( O \)
\( A \cdot A \)
\( B . B \)
\( c \cdot c \)
\( D \cdot D \)
\( E . E \)",,,,,,,
Biology,"A typical gymnospermous plant has 8 chromosomes in leaf cells. What will be number of chromosomes in the cells of
its gametophyte?
A . 16",,"8
\( c \cdot 4 \)",24,,,,
Biology,Incorrect statement in the following,Glomerulus is a group of fine blood capillaries,Loop of Henle is a part of malpighian body,Symptoms of uremia is swelling of feet,Jatropa is the source of bio-diesel,,,
Biology,Stomochord is found in,Urochordata,Hemichordata,Both A and B,cephalochordata,,,
Biology,"Choose the correct answers from the
alternatives given :
Meiosis involves:",two nuclear divisions with chromosomes dividing only once,two nuclear divisions with chromosomes dividing twice,one nuclear division with chromosomes dividing only once,two nuclear divisions with chromosomes dividing four times,,,
Biology,Pea plants were more suitable than cattle for Mendel's experiment because,There were no breeding records of cattles,Pea plants can be self-fertilised,All pea plants have 2n chromosomes and fewer genetic traits.,cattle are not easy to mantain,,,
Biology,"Which one of the following animals has
a nervous system but no brain?",Earthworm,Hydra,cockroach,Amoeba,,,
Biology,"Tidal volume of air in a normal healthy man during inspiration is about
A . 300-400ml",,500-700ml,100-250ml,\( 900-1000 \mathrm{ml} \),,,
Biology,Write the name of excretory organs and draw a labelled diagram of excretory system in humans.,,,,,,,
Biology,Which of these is an example for zygomorphic flower with imbricate aestivation?,Calotropis,Mustard,cassia,canna,Cucumber,,
Biology,What is a rhytidome?,It is a bark,Dead tissue separated by periderm on outerside,Secondary cortex,Dead tissue separated by periderm on inner side,,,
Biology,"Describe this topic:
Effect of sewage discharge on some important characteristics of a river",,,,,,,
Biology,Darwin was most influenced by :,Lamarck's theory of acquired characters,Weisman's theory of origin of species,Essay on Population by Malthus,Wallace's theory of origin of species,,,
Biology,Cross bridges between actin and myosin is broken up by,Hydrolysis of AP,Binding of ATP to the myosin head,Exposure of tropomyosin,Binding of calcium to the subunit of troponin,,,
Biology,What is Juxtaglomerular apparatus?,,,,,,,
Biology,"Who is called as 'father of Indian plant
physiology'?",J. C. Bose,Calvin,K. K. Nanda,R. Mishra,,,
Biology,"Chief merit of Bentham and Hooker's
classification is that",The system mostly based on evolutionary concepts.,It is a natural systems of classification of all groups of plants.,The description of taxa are based on actual examination of specimen.,It also considered the phylogenetic aspects.,,,
Biology,"The gas that usually causes explosion
in coal mines is",methane,carbon monoxide,hydrogen,carbon dioxide,,,
Biology,"Name two types of terrestrial habitats
with low temperatures.",,,,,,,
Biology,Which is the short day plant from the following?,cotton,Rice,All of the above,sugarcane,,,
Biology,"Differentiate between.
Diploblastic and triploblastic animals",,,,,,,
Biology,"All chemical characteristics are
common to living beings, except",Type of protein present in the body.,Similar triple code for amino acids.,Ribosomes are the sites of protein synthesis.,Energy is stored by high phosphate bonds.,,,
Biology,Which of the following is not a function of Iymph?,Supplies oxygen and prevents spreading of infections,Returns proteins to the bloodd,None of the above,Absorbs vitamins and minerals,,,
Biology,"At the time of fertilization, sperm head
enters in the egg from",Any where,Animal pole,Lateral side of egg,vegetal pole,,,
Biology,Transporting pull arise mainly from,Roots,Leaves,All,Stems,,,
Biology,"Atul is traveling from Mumbai to Nagpur by train, in between, he felt
uneasy because",He used an improperly sanitized public toilet,,None of the above,He was already sick.,,,
Biology,"Two snails in the same class can also
belong to which group?",Order,species,Family,Genus,Phylum,,
Biology,"Select the correct option:
During electron transport system(ETS), electron transport proceeds from carriers that have
potential to those having redox potential. This electron transport down the energy gradient leads to the formation of ATP from ADP and Pi, which
is referred to as","Low, high, oxidative phosphorylation","Low, high, oxidative decarboxylation","High, low, oxidative decarboxylation","High, low, oxidative phosphorylation",,,
Biology,"Identify the wrong statement about
meiosis.",Pairing of homologous chromosomes,Four haploid cells are formed,Two cycle of DNA replication occur,At the end of meiosis number of chromosomes are reduced to half,,,
Biology,"Opening of auricles into ventricles are
guarded by valves.",,,,,,,
Biology,Normal cardiac output is,15 litres/min,520 litres/min,None of the above,5 litres/min,,,
Biology,Compensation point is the value of the factor where there is,Neither photosynthesis nor respiration,Little photosynthesis,Beginning of photosynthesis,Photosynthesis is equal to the rate of respiration,,,
Biology,"Match the following and choose the
correct option.
\( \mathbf{A} \)",,"A- 4, B-1, C-2, D-3","\( A-4, B-2, C-3, D-4 \)","\( A-4, B-1, C-3, D-4 \)",,,
Biology,Cell division can not be stopped in phase of the cell cycle.,Gi phase,Ga phase,Prophase,s phase,,,
Biology,Define ecosystem.,,,,,,,
Biology,Biogas plant is more useful than burning of dung cakes because,It is non-pollutant,It yields manure as well as fuel gas.,Both A and B,It yields important biochemicals.,,,
Biology,"Which of the following animal respires but there is no respiratory organ in them?
\( A \cdot F \operatorname{rog} \)",,Cockroach,Earthworm,Fish,,,
Biology,"Which organ is part of circulatory system but does not take part in
pumping?
A . Heart",,Liver,Kidney,spleen,,,
Biology,Carbonic anhydrase is mostly active in,RBC,WBC,Blood Platelets,Blood Plasma,,,
Biology,Primary roots and its branches constitutes to,,Tap root system,Seminal roots,Fibrous roots,,,
Biology,"During photorespiration, when two \( O_{2} \)
molecules react with 2 moles of RUBP
then how many \( 3-P G A \) molecules are
formed from 2 molecules of \( 2- \)
phosphoglycolate
A . 2",,"1
\( c .3 \)",4,,,,
Biology,Identify the incorrect statement.,Forest prevents soil erosion.,Forest influences climate and water cycle.,Plants and animals in the forest are not dependent on one another.,Soil helps forest to regenerate.,,,
Biology,"At the poles, the air is colder than that at latitudes about?",30 degrees,60 degrees,80 degrees,90 degrees,,,
Biology,"Which of the following substances, if introduced into the bloodstream, would cause coagulation of blood at the site of
its introduction?",Fibrinogen,Prothrombin,Thromboplastin,Heparin,,,
Biology,"Amoeba sticks to substratum by means
of",Rough surface,Plasmalemma,None of the above,Protein,,,
Biology,"Which one of the following statements
is correct?",At present it is not possible to grow maize without chemical fertilizers.,Extensive use of chemical fertilizer may lead to eutrophication of nearby water bodies.,Cyanobacteria such as Anabaena and Nostoc are important mobilizers of phosphates and potassium for plant nutrition in the soil.,Both Azotobacter and Rhizobium fix atmospheric nitrogen in root nodules of plants.,,,
Biology,"What is a monohybrid cross? What is the ratio of tall and dwarf plants
obtained in \( F_{2} \) generation? Represent
the same with the help of a checker board.",,,,,,,
Biology,"After the secondary growth, the oldest layer of secondary phloem in a dicot stem is located",Just outside the vascular cambium,Just inside the vascular cambium,Just outside the secondary xylem,Just inside the vascular primary phloem,,,
Biology,Green leaf like one internode long stem branches/phylloclades are called,Phylloclades,Phyllodes,Cladodes,Bulbils,,,
Biology,The repository of plant taxonomy and systematics is,Red data book,Herbarium,Genomic library,Botanical garden,,,
Biology,"Choose the correct answer from the
alternatives given. If a cell is placed in an isotonic solution, what will occur?",Salts will move into the cell from the surrounding solution,Water will move into the cell from the surrounding solution,None of the above will occur,Salts will move out of the cell into the surrounding solution,,,
Biology,Which one is a wrong statement?,Brown algae have chlorophyll a and c and fucoxanthin.,"Archegonia are found in Bryophyta, Pteridophyta and Gymnosperms.",Haploid endosperm is typical feature of gymnosperms.,Mucor has biflagellate zoospores.,,,
Biology,"Write a note on the following:
(i) Genetic Code
(ii) Sex - determination in human.",,,,,,,
Biology,A plant with parallel venation is,castor,Grass,Mustard,colocasia,,,
Biology,"Primata and Carnivora are placed
together in the same?",Order,Division,class,Family,,,
Biology,Sensory crista of ampulla of mammalian ear is connected with,Sense of balance,Sense of low hearing,Secretion of ear wax,Sense of loud hearing,,,
Biology,Explain why respiration is said to be the reverse of photosynthesis.,,,,,,,
Biology,"In Opuntia, the function of photosynthesis is carried out by",cladode,phyllode,stipules,phyllociade,,,
Biology,The breakdown of complex components of food into simple ones is called as,Respiration,Digestion,Absorption,Excretion,,,
